@RELATION comment
@ATTRIBUTE commentaires string
@ATTRIBUTE polarite real
@ATTRIBUTE class{Ambiance,Réalisation,Scénario,Acteur}
@DATA
'11 5 / 20 divertisement reste agréable malgré humour exploité ',5,Ambiance
'était à télé ça saoulé zappé seul truc pouvait retenir était Drew Barrymore pourri film',0.06,Acteur
'Film Génial action casting choisie :D ',10,Acteur
'film super passé hier soir M6 ',10,Scénario
'remake serie Cameron Diaz Drew Barrymore Lucy Liu',10,Acteur
'Divertissement 100% réussi Mention spéciale à Sam Rockwell GENIAL hab ',10,Ambiance
'pose sérieusement question concerne utilité genre film vide qualité plastique héroines ',2,Réalisation
'jamais filles belles même lourdingue ',0.06,Ambiance
'film suite cascade grand intérêt prétexte à déshabiller actrices scénario quasi inexistant ',1,Réalisation
'bon film donne plaisir à voir actions très sympathiques actrices sublimes jouent rôle bonne réalisation bon scénario ',7,Réalisation
'mouais plutot faible trio sympatique petillant glamour serie',5,Acteur
'Bon film action bons acteurs aimé à voir ',6,Acteur
'bonne comédie passe bon moment même préféré deuxième volet À voir ',7,Ambiance
'mauvais ensemble sauvé extrême justesse joli casting ',2,Acteur
'bonne petite comédie laisse aprécier ',5,Ambiance
'Malgré interprétation magistrale actrices principales film jamais loin simple illustration 12/20',6,Scénario
'Brillant réalisme film reste autant noir basé histoire vraie actrices impressionnantes justesse ',4,Acteur
'film très dur actrices excellentes histoire très bonne ',7,Acteur
'très bon film français belle tragédie bon psychodrame rôle à Sylvie Testud déjà très grande actrice ',8,Acteur
'vraiment aimer film croirais réell film peur sonctions prit fin film ',10,Ambiance
'viens voir dvd Long poussif rythme malsain Bref comprends critiques bon sujet gâché mise scéne soporifique ',2,Réalisation
'Effarant où manque mener ',9,Ambiance
'Incisif brillant dévastateur puissant cinéma français permet élever haut Très haut ',8,Scénario
'film ressemble à bon téléfilm joué Même prend libertés vérité historique ',5,Scénario
'Vraiment très bon film très très joué histoire (vraie) vraiment intéressante mise scène très soignée ',8,Réalisation
'film vraiment marquant hypnotisé mieux Sylvie Testud remarquable à regarder faute ',10,Acteur
'voir jeu actrices histoire caméra connaitre affaire étrange ',8,Acteur
'Blessures Assassines rende vrai actrices exceptionnelles ',8,Acteur
'sais aurait pensé Jacques Lacan film part trouvé époustoufflant Excellent points à voir urgence ',10,Scénario
'Rarement film trouvé particulièrement réussi interprétation Sylvie Testud irréprochable excellente réalisation ',10,Acteur
'Film très fin suggère impose explication sublimement joué bon moment plaisir préfère loin drôles dames-là ',10,Scénario
'jeunes actrices merveilleuses crèvent écran -P Denis mieux art : attend film ',10,Acteur
