@RELATION comment
@ATTRIBUTE commentaires string
@ATTRIBUTE polarite real
@ATTRIBUTE class{Ambiance,Realisation,Scenario,Acteur}
@DATA
'grand fan alice pays merveilles dessin-anime reste magique',7,Ambiance
'chef-d oeuvre classique Disney histoire etrange personnages culte chansons uniques ',10,Realisation
'Histoire incroyable sublime musique charme ',10,Ambiance
'tres bon Disney souvent inegal passages ennuyeux ',7,Ambiance
'chef oeuvre Disney histoire chansons uniques ',10,Realisation
'super Walt Disney faut bizarreries soutenir comparaison livre Lewis Carroll joyeux non-anniversaire cheeeeeeeeeeeeeere',10,Realisation
'forcement meilleur wall disney Alice pays merveilles reste bon film animation classique à voir exempt defaut ',8,Realisation
'vrai Walt Disney à ancienne bourre musiques aiment ',6,Realisation
'film deçu montre realite cites françaises fiction film montrant vie reel ',4,Scenario
'adore tro film tre bonne vengeance',10,Ambiance
'western urbain lignee haine 6-t crack-er plutôt foutu interprete ',7,Ambiance
'film coup poing univers dur grand à equipe (scenariste realisateur acteurs) ',6,Realisation
'film vrai daupe montre realite cite acteur bidon scenar pourrie vrai naufrage eviter',1,Realisation
'film coup poing acteur tres bon realite banlieue montre ici ',8,Acteur
'film met pauvre situation jeunes femmes sein banlieues chaudes monotone pouvoir emballer devrait ',2,Ambiance
'etoile dejà BO signee Cut Killer reste route difficulte malgre volonte realisme correcte ',5,Realisation
'bon film où met evidence travers banlieue reprochera doute etre parfois lent morosite oblige bavard moments ',5,Ambiance
'Bon film montre pres cite Paris ',5,Scenario
'Original ca montre côte feminin banlieues meilleur film sujet ',5,Scenario
'etoile uniquement parce fois voit angle vue femmes film cite reste rempli prejuges ça carbure exagerations ',2,Realisation
'specialiste question semble film peinture realiste moeurs regne cites où bon vivre ',5,Scenario
'tres bon film cite tres joue fin optimiste',10,Scenario
'trouve etait bon film theme exploite tres bons acteurs ',8,Acteur
'film coup poing',8,Realisation
'deteste film effort dialogues <br/> acteurs parlent rue vulgairement <br/> respecte entendu public aime film ',2,Ambiance
'film interet pire vie Pale imitation haine Rai film à eviter ',2,Scenario
'belle realisation epoque mal rebondissements acteurs marquants Philippe Klay excellents depareillerait film Tarentino ',8,Realisation
'action ennuyeuse scenario incomprehensible humour tombe à plat sauver tissu aneries à part peut-etre sourire Cameron Diaz ',2,Scenario
'Charlie drôles dames heureusement humour second degres Bill Murray viennent sauver reste rendre film minimum divertissant 7/20',4,Ambiance
'divertissement tres second degre reunit habilement humour potache cinema d’action d’aventure ',5,Scenario
'accord gros cul cul adore sais fois bordel adore cast genial humour cascades excellentes voila adore ',9,Ambiance
'film divertissant actrices sexy Sam Rockwell hilarant lorsqu‘il danse cigarette ',6,Acteur
'film vaut jolies miss-actrices casting ',6,Acteur
'trio sort remake drôle jouer meme scene gros voulu ',7,Ambiance
'fouille cartons recuperer vieilles series disparues faire film action bas gamme reelle imagination terrible à tirer casting ',4,Scenario
'film dejante à mise scene dynamique parodiant celebre serie meme nom Bill Murray impeccable personnage ',6,Realisation
'Tres faible scenaristiquement ',0.06,Scenario
'nullite absolue à peine divertissant film hisse pires films pu voir ',1,Realisation
'mauvais film action ',4,Realisation
'serie devient film survitamine moindre temps mort Divertissant pretention ',5,Ambiance
'actrices soient mauvaises tres loin charme serie ',2,Acteur
'mauvais permet passer bon moment inoubliable ',4,Ambiance
'Honnetement trouve mauvais film ',2,Scenario
'Honnetement trouve bon film ',8,Scenario
'divertissement honnete pretention scenario original aurais nuit',4,Scenario
'scenes actions gros film point fort etre tres rythmes charme 3 actrices operent à merveille',6,Acteur
'film action moque (legerement ) films actions adore attache tres à filles allier boulot petits copains ',10,Scenario
'trio super actrices convaincantes scenario passe bon moment ca arrete ',6,Scenario
'action humour scenario chercher loin loin serie TV coup film rate ensemble malgre casting interessant ',5,Realisation
'11 5 / 20 divertisement reste agreable malgre humour exploite ',5,Ambiance
'etait à tele ça saoule zappe seul truc pouvait retenir etait Drew Barrymore pourri film',0.06,Acteur
'Film Genial action casting choisie :D ',10,Acteur
'film super passe hier soir M6 ',10,Scenario
'remake serie Cameron Diaz Drew Barrymore Lucy Liu',10,Acteur
'Divertissement 100% reussi Mention speciale à Sam Rockwell GENIAL hab ',10,Ambiance
'pose serieusement question concerne utilite genre film vide qualite plastique heroines ',2,Realisation
'jamais filles belles meme lourdingue ',0.06,Ambiance
'film suite cascade grand interet pretexte à deshabiller actrices scenario quasi inexistant ',1,Realisation
'bon film donne plaisir à voir actions tres sympathiques actrices sublimes jouent rôle bonne realisation bon scenario ',7,Realisation
'mouais plutot faible trio sympatique petillant glamour serie',5,Acteur
'Bon film action bons acteurs aime à voir ',6,Acteur
'bonne comedie passe bon moment meme prefere deuxieme volet À voir ',7,Ambiance
'mauvais ensemble sauve extreme justesse joli casting ',2,Acteur
'bonne petite comedie laisse aprecier ',5,Ambiance
'Malgre interpretation magistrale actrices principales film jamais loin simple illustration 12/20',6,Scenario
'Brillant realisme film reste autant noir base histoire vraie actrices impressionnantes justesse ',4,Acteur
'film tres dur actrices excellentes histoire tres bonne ',7,Acteur
'tres bon film français belle tragedie bon psychodrame rôle à Sylvie Testud dejà tres grande actrice ',8,Acteur
'vraiment aimer film croirais reell film peur sonctions prit fin film ',10,Ambiance
'viens voir dvd Long poussif rythme malsain Bref comprends critiques bon sujet gache mise scene soporifique ',2,Realisation
'Effarant où manque mener ',9,Ambiance
'Incisif brillant devastateur puissant cinema français permet elever haut Tres haut ',8,Scenario
'film ressemble à bon telefilm joue Meme prend libertes verite historique ',5,Scenario
'Vraiment tres bon film tres tres joue histoire (vraie) vraiment interessante mise scene tres soignee ',8,Realisation
'film vraiment marquant hypnotise mieux Sylvie Testud remarquable à regarder faute ',10,Acteur
'voir jeu actrices histoire camera connaitre affaire etrange ',8,Acteur
'Blessures Assassines rende vrai actrices exceptionnelles ',8,Acteur
'sais aurait pense Jacques Lacan film part trouve epoustoufflant Excellent points à voir urgence ',10,Scenario
'Rarement film trouve particulierement reussi interpretation Sylvie Testud irreprochable excellente realisation ',10,Acteur
'Film tres fin suggere impose explication sublimement joue bon moment plaisir prefere loin drôles dames-là ',10,Scenario
'jeunes actrices merveilleuses crevent ecran -P Denis mieux art : attend film ',10,Acteur
